Imię nazwisko,Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień
Anna Kowalska,86,120,74,137,160,134,113,73,74,114,93,109
Piotr Nowak,119,134,118,98,152,101,128,146,91,126,164,152
Maria Wiśniewska,93,175,167,94,86,90,164,165,92,114,170,118
Tomasz Wójcik,125,163,86,172,160,77,107,180,87,161,103,173
Katarzyna Kozłowska,154,100,121,116,176,125,127,180,99,173,151,84
Michał Jankowski,155,148,177,153,97,72,172,117,110,133,178,137
Agnieszka Mazur,160,82,154,141,170,149,160,162,84,155,114,85
Jakub Krawczyk,134,96,115,75,120,93,153,113,157,158,159,138
Monika Piotrowska,154,107,101,171,179,128,72,95,120,177,136,111
Paweł Grabowski,174,103,137,167,112,168,143,95,135,78,80,133
Joanna Nowakowska,80,88,111,166,145,135,76,120,138,88,128,156
Marcin Pawłowski,70,110,73,166,79,149,94,105,144,154,117,152
Magdalena Michalska,87,97,145,78,164,144,71,116,173,180,96,166
Krzysztof Adamczyk,147,122,162,125,86,112,91,131,165,94,73,148
Aleksandra Dudek,124,147,155,75,130,89,165,123,180,123,90,132
Łukasz Zając,98,103,147,74,122,179,142,70,129,91,148,106
Ewelina Wieczorek,102,141,73,100,140,82,87,106,176,108,140,180
Bartosz Jabłoński,101,137,99,122,163,161,107,160,79,101,128,72
Natalia Sobczak,81,151,165,130,133,160,119,154,88,113,158,176
Damian Król,140,173,80,118,158,127,86,139,72,133,151,174
