Imię nazwisko,Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień
Anna Kowalska,131,146,88,179,158,102,115,108,164,123,156,72
Piotr Nowak,90,138,83,138,84,144,122,165,98,100,157,119
Maria Wiśniewska,116,139,82,142,122,80,103,156,116,158,176,164
Tomasz Wójcik,140,90,79,107,176,95,114,77,71,131,139,98
Katarzyna Kozłowska,131,135,175,73,172,99,144,174,97,137,83,127
Michał Jankowski,134,79,139,114,142,108,151,169,81,166,176,104
Agnieszka Mazur,70,72,87,158,106,78,151,89,144,137,160,108
Jakub Krawczyk,115,75,109,161,150,125,88,156,115,175,126,178
Monika Piotrowska,161,90,111,167,116,115,117,93,122,179,167,163
Paweł Grabowski,176,85,142,73,75,135,84,107,125,156,154,96
Joanna Nowakowska,178,72,158,161,176,139,179,74,147,75,157,102
Marcin Pawłowski,86,108,146,176,151,114,73,103,146,134,164,106
Magdalena Michalska,144,96,153,111,169,158,119,106,133,146,78,87
Krzysztof Adamczyk,111,155,127,157,135,80,162,110,95,164,167,114
Aleksandra Dudek,179,85,175,118,124,153,99,96,98,142,87,161
Łukasz Zając,93,117,171,78,99,171,84,89,160,89,176,95
Ewelina Wieczorek,118,137,168,84,154,142,156,118,144,123,72,142
Bartosz Jabłoński,170,112,152,131,150,77,100,174,138,179,124,119
Natalia Sobczak,114,170,178,94,148,159,141,99,122,177,135,146
Damian Król,128,160,104,138,98,122,84,140,133,178,90,160
